x,y,u,v
25600.0,0.0,-0.71,0.01
25700.0,0.0,-0.69,0.01
25800.0,0.0,-0.67,0.01
25900.0,0.0,-0.66,0.01
26000.0,0.0,-0.64,0.01
26100.0,0.0,-0.63,0.01
26200.0,0.0,-0.61,0.01
26300.0,0.0,-0.59,0.01
26400.0,0.0,-0.54,0.01
26500.0,0.0,-0.49,0.01
26600.0,0.0,-0.44,0.01
26700.0,0.0,-0.37,0.01
26800.0,0.0,-0.3,0.01
26900.0,0.0,-0.23,0.01
27000.0,0.0,-0.17,0.01
27100.0,0.0,-0.11,0.01
27200.0,0.0,-0.05,0.01
27300.0,0.0,-0.01,0.01
27400.0,0.0,0.02,0.01
27500.0,0.0,0.04,0.01
27600.0,0.0,0.06,0.01
27700.0,0.0,0.07,0.0
27800.0,0.0,0.08,0.0
27900.0,0.0,0.1,0.0
28000.0,0.0,0.12,0.0
28100.0,0.0,0.14,0.0
28200.0,0.0,0.17,0.0
28300.0,0.0,0.2,0.0
28400.0,0.0,0.22,0.0
28500.0,0.0,0.25,0.0
28600.0,0.0,0.27,0.0
28700.0,0.0,0.31,0.0
28800.0,0.0,0.34,0.0
28900.0,0.0,0.37,0.0
29000.0,0.0,0.4,0.0
29100.0,0.0,0.44,0.0
29200.0,0.0,0.47,0.0
29300.0,0.0,0.5,0.0
29400.0,0.0,0.55,0.0
29500.0,0.0,0.59,0.0
29600.0,0.0,0.64,0.0
29700.0,0.0,0.7,0.0
29800.0,0.0,0.77,0.0
29900.0,0.0,0.85,0.0
30000.0,0.0,0.95,-0.0
30100.0,0.0,1.06,-0.0
30200.0,0.0,1.17,-0.0
30300.0,0.0,1.27,-0.01
30400.0,0.0,1.35,-0.0
30500.0,0.0,1.41,-0.0
30600.0,0.0,1.47,-0.0
30700.0,0.0,1.5,-0.01
30800.0,0.0,1.53,-0.01
30900.0,0.0,1.56,-0.01
31000.0,0.0,1.58,-0.01
31100.0,0.0,1.6,-0.01
31200.0,0.0,1.63,-0.01
31300.0,0.0,1.65,-0.01
31400.0,0.0,1.69,-0.01
31500.0,0.0,1.71,-0.01
31600.0,0.0,1.75,-0.01
31700.0,0.0,1.77,-0.01
31800.0,0.0,1.79,-0.01
31900.0,0.0,1.8,-0.01
32000.0,0.0,1.8,-0.01
32100.0,0.0,1.79,-0.01
32200.0,0.0,1.77,-0.01
32300.0,0.0,1.72,-0.01
32400.0,0.0,1.66,-0.01
32500.0,0.0,1.57,-0.01
32600.0,0.0,1.47,-0.01
32700.0,0.0,1.36,-0.01
32800.0,0.0,1.29,-0.01
32900.0,0.0,1.24,-0.01
33000.0,0.0,1.2,-0.01
33100.0,0.0,1.17,-0.01
33200.0,0.0,1.16,-0.01
33300.0,0.0,1.15,-0.01
33400.0,0.0,1.15,-0.01
